Creation,Acquisition,CreationQuantity,AcquisitionQuantity,TotalCreation,TotalAcquisition
1936,2015,2,2,12,137
1947,2015,1,1,18,137
1952,2015,1,1,34,137
1953,2015,1,1,52,137
1954,2015,1,1,47,137
1955,2015,5,5,40,137
1956,2015,5,5,47,137
1958,2015,3,3,50,137
1959,2015,1,1,55,137
1960,2015,6,6,133,137
1961,2015,3,3,43,137
1962,2015,1,1,51,137
1963,2015,3,3,91,137
1964,2015,2,2,116,137
1967,2015,6,6,157,137
1968,2015,4,4,198,137
1969,2015,1,1,120,137
1970,2015,2,2,247,137
1971,2015,2,2,90,137
1972,2015,4,4,168,137
1973,2015,9,9,123,137
1974,2015,3,3,98,137
1975,2015,9,9,120,137
1976,2015,1,1,76,137
1978,2015,1,1,75,137
1980,2015,4,4,140,137
1982,2015,10,10,128,137
1983,2015,1,1,123,137
1986,2015,1,1,114,137
1989,2015,4,4,142,137
1991,2015,2,2,114,137
1992,2015,1,1,87,137
1995,2015,6,6,156,137
2008,2015,4,4,141,137
2012,2015,9,9,124,137
2014,2015,13,13,331,137
2015,2015,1,1,139,137
1920,2016,1,1,16,114
1925,2016,1,1,20,114
1928,2016,2,2,65,114
1931,2016,1,1,13,114
1932,2016,1,1,27,114
1935,2016,1,1,15,114
1936,2016,1,1,12,114
1941,2016,2,2,5,114
1953,2016,1,1,52,114
1958,2016,1,1,50,114
1966,2016,4,4,64,114
1967,2016,11,11,157,114
1968,2016,3,3,198,114
1969,2016,7,7,120,114
1970,2016,2,2,247,114
1972,2016,5,5,168,114
1973,2016,2,2,123,114
1975,2016,4,4,120,114
1976,2016,1,1,76,114
1978,2016,1,1,75,114
1979,2016,4,4,105,114
1980,2016,2,2,140,114
1981,2016,3,3,92,114
1984,2016,2,2,83,114
1985,2016,2,2,55,114
1986,2016,1,1,114,114
1989,2016,1,1,142,114
1996,2016,2,2,110,114
1997,2016,2,2,125,114
1998,2016,2,2,62,114
1999,2016,1,1,63,114
2000,2016,1,1,76,114
2001,2016,4,4,78,114
2002,2016,1,1,117,114
2003,2016,3,3,55,114
2004,2016,2,2,82,114
2005,2016,2,2,136,114
2006,2016,2,2,81,114
2007,2016,4,4,116,114
2008,2016,4,4,141,114
2009,2016,2,2,126,114
2010,2016,1,1,110,114
2011,2016,1,1,114,114
2013,2016,3,3,181,114
2014,2016,1,1,331,114
2015,2016,2,2,139,114
2016,2016,7,7,56,114
1923,2017,3,3,29,2100
1928,2017,1,1,65,2100
1933,2017,2,2,18,2100
1936,2017,1,1,12,2100
1937,2017,1,1,38,2100
1950,2017,6,6,76,2100
1951,2017,1,1,15,2100
1952,2017,2,2,34,2100
1953,2017,1,1,52,2100
1954,2017,2,2,47,2100
1955,2017,2,2,40,2100
1956,2017,2,2,47,2100
1957,2017,1,1,39,2100
1958,2017,1,1,50,2100
1963,2017,1,1,91,2100
1967,2017,3,3,157,2100
1968,2017,2,2,198,2100
1970,2017,5,5,247,2100
1972,2017,4,4,168,2100
1973,2017,5,5,123,2100
1975,2017,27,27,120,2100
1976,2017,9,9,76,2100
1977,2017,3,3,102,2100
1978,2017,3,3,75,2100
1979,2017,13,13,105,2100
1980,2017,13,13,140,2100
1981,2017,16,16,92,2100
1982,2017,31,31,128,2100
1983,2017,44,44,123,2100
1984,2017,50,50,83,2100
1985,2017,10,10,55,2100
1986,2017,7,7,114,2100
1987,2017,4,4,104,2100
1988,2017,15,15,124,2100
1989,2017,68,68,142,2100
1990,2017,30,30,185,2100
1991,2017,18,18,114,2100
1992,2017,22,22,87,2100
1993,2017,59,59,116,2100
1994,2017,25,25,108,2100
1995,2017,90,90,156,2100
1996,2017,23,23,110,2100
1997,2017,17,17,125,2100
1998,2017,13,13,62,2100
1999,2017,25,25,63,2100
2000,2017,15,15,76,2100
2001,2017,37,37,78,2100
2002,2017,27,27,117,2100
2003,2017,24,24,55,2100
2004,2017,47,47,82,2100
2005,2017,61,61,136,2100
2006,2017,34,34,81,2100
2007,2017,61,61,116,2100
2008,2017,109,109,141,2100
2009,2017,102,102,126,2100
2010,2017,77,77,110,2100
2011,2017,100,100,114,2100
2012,2017,95,95,124,2100
2013,2017,166,166,181,2100
2014,2017,311,311,331,2100
2015,2017,128,128,139,2100
2016,2017,16,16,56,2100
2017,2017,9,9,17,2100
1920,2018,2,2,16,107
1922,2018,1,1,9,107
1923,2018,2,2,29,107
1926,2018,1,1,13,107
1927,2018,3,3,44,107
1929,2018,1,1,33,107
1930,2018,4,4,86,107
1932,2018,3,3,27,107
1933,2018,4,4,18,107
1937,2018,2,2,38,107
1938,2018,2,2,44,107
1945,2018,1,1,7,107
1946,2018,1,1,9,107
1947,2018,1,1,18,107
1950,2018,4,4,76,107
1951,2018,1,1,15,107
1952,2018,3,3,34,107
1953,2018,1,1,52,107
1957,2018,2,2,39,107
1958,2018,2,2,50,107
1962,2018,3,3,51,107
1963,2018,1,1,91,107
1965,2018,3,3,103,107
1966,2018,1,1,64,107
1967,2018,3,3,157,107
1968,2018,1,1,198,107
1970,2018,1,1,247,107
1974,2018,1,1,98,107
1981,2018,1,1,92,107
1982,2018,3,3,128,107
2000,2018,1,1,76,107
2001,2018,4,4,78,107
2008,2018,1,1,141,107
2009,2018,4,4,126,107
2010,2018,6,6,110,107
2011,2018,5,5,114,107
2012,2018,8,8,124,107
2013,2018,8,8,181,107
2014,2018,2,2,331,107
2015,2018,3,3,139,107
2016,2018,2,2,56,107
2017,2018,2,2,17,107
2018,2018,1,1,52,107
2019,2018,1,1,4,107
1932,2019,1,1,27,129
1938,2019,1,1,44,129
1940,2019,1,1,10,129
1941,2019,1,1,5,129
1942,2019,2,2,7,129
1949,2019,1,1,15,129
1950,2019,2,2,76,129
1952,2019,1,1,34,129
1953,2019,1,1,52,129
1955,2019,2,2,40,129
1956,2019,1,1,47,129
1959,2019,1,1,55,129
1963,2019,1,1,91,129
1965,2019,1,1,103,129
1967,2019,2,2,157,129
1969,2019,5,5,120,129
1971,2019,2,2,90,129
1972,2019,2,2,168,129
1975,2019,2,2,120,129
1976,2019,15,15,76,129
1978,2019,1,1,75,129
1979,2019,1,1,105,129
1980,2019,14,14,140,129
1981,2019,4,4,92,129
1983,2019,10,10,123,129
1984,2019,2,2,83,129
1986,2019,2,2,114,129
1987,2019,2,2,104,129
1988,2019,3,3,124,129
1989,2019,1,1,142,129
1990,2019,1,1,185,129
1992,2019,5,5,87,129
1999,2019,1,1,63,129
2009,2019,4,4,126,129
2010,2019,1,1,110,129
2013,2019,2,2,181,129
2014,2019,2,2,331,129
2015,2019,4,4,139,129
2016,2019,7,7,56,129
2017,2019,2,2,17,129
2018,2019,15,15,52,129
1928,2020,1,1,65,37
1929,2020,1,1,33,37
1932,2020,1,1,27,37
1936,2020,1,1,12,37
1939,2020,1,1,18,37
1947,2020,7,7,18,37
1965,2020,1,1,103,37
1972,2020,5,5,168,37
1973,2020,5,5,123,37
1990,2020,1,1,185,37
2007,2020,1,1,116,37
2010,2020,1,1,110,37
2011,2020,1,1,114,37
2017,2020,1,1,17,37
2018,2020,8,8,52,37
2020,2020,1,1,8,37
1920,2021,1,1,16,113
1923,2021,5,5,29,113
1928,2021,1,1,65,113
1930,2021,1,1,86,113
1949,2021,1,1,15,113
1954,2021,3,3,47,113
1956,2021,2,2,47,113
1963,2021,1,1,91,113
1964,2021,2,2,116,113
1965,2021,1,1,103,113
1967,2021,2,2,157,113
1970,2021,2,2,247,113
1977,2021,1,1,102,113
1979,2021,3,3,105,113
1980,2021,1,1,140,113
1985,2021,3,3,55,113
1989,2021,1,1,142,113
1990,2021,1,1,185,113
1991,2021,1,1,114,113
1994,2021,2,2,108,113
1995,2021,2,2,156,113
1997,2021,1,1,125,113
2001,2021,1,1,78,113
2007,2021,1,1,116,113
2010,2021,2,2,110,113
2012,2021,3,3,124,113
2013,2021,2,2,181,113
2014,2021,2,2,331,113
2015,2021,1,1,139,113
2016,2021,24,24,56,113
2017,2021,2,2,17,113
2018,2021,26,26,52,113
2019,2021,1,1,4,113
2020,2021,7,7,8,113
2021,2021,3,3,12,113
1919,2022,1,1,5,57
1923,2022,1,1,29,57
1938,2022,1,1,44,57
1942,2022,1,1,7,57
1949,2022,1,1,15,57
1955,2022,1,1,40,57
1956,2022,1,1,47,57
1962,2022,6,6,51,57
1964,2022,1,1,116,57
1966,2022,2,2,64,57
1967,2022,4,4,157,57
1968,2022,2,2,198,57
1969,2022,2,2,120,57
1970,2022,3,3,247,57
1975,2022,1,1,120,57
1977,2022,3,3,102,57
1979,2022,6,6,105,57
1985,2022,1,1,55,57
1993,2022,1,1,116,57
2008,2022,1,1,141,57
2010,2022,3,3,110,57
2011,2022,1,1,114,57
2017,2022,1,1,17,57
2018,2022,2,2,52,57
2019,2022,1,1,4,57
2021,2022,9,9,12,57
